(n, m) = (10, 400)    | (i, j) = (2, 4) | D = 0.0859
(n, m) = (10, 400)    | (i, j) = (3, 0) | D = 0.14056
(n, m) = (10, 400)    | (i, j) = (3, 1) | D = 0.1796
(n, m) = (10, 400)    | (i, j) = (3, 2) | D = 0.11713
(n, m) = (10, 400)    | (i, j) = (3, 3) | D = 0.07809
(n, m) = (10, 400)    | (i, j) = (3, 4) | D = 0.0859
(n, m) = (10, 400)    | (i, j) = (4, 0) | D = 0.17179
(n, m) = (10, 400)    | (i, j) = (4, 1) | D = 0.13275
(n, m) = (10, 400)    | (i, j) = (4, 2) | D = 0.19522
(n, m) = (10, 400)    | (i, j) = (4, 3) | D = 0.23426
(n, m) = (10, 400)    | (i, j) = (4, 4) | D = 0.22645
(n, m) = (10, 600)    | (i, j) = (0, 0) | D = 0.16204
(n, m) = (10, 600)    | (i, j) = (0, 1) | D = 0.17249
(n, m) = (10, 600)    | (i, j) = (0, 2) | D = 0.22999
(n, m) = (10, 600)    | (i, j) = (0, 3) | D = 0.18295
(n, m) = (10, 600)    | (i, j) = (0, 4) | D = 0.18818
(n, m) = (10, 600)    | (i, j) = (1, 0) | D = 0.16204
(n, m) = (10, 600)    | (i, j) = (1, 1) | D = 0.17249
(n, m) = (10, 600)    | (i, j) = (1, 2) | D = 0.22999
(n, m) = (10, 600)    | (i, j) = (1, 3) | D = 0.18295
(n, m) = (10, 600)    | (i, j) = (1, 4) | D = 0.18818
(n, m) = (10, 600)    | (i, j) = (2, 0) | D = 0.15159
(n, m) = (10, 600)    | (i, j) = (2, 1) | D = 0.14113
(n, m) = (10, 600)    | (i, j) = (2, 2) | D = 0.08363
(n, m) = (10, 600)    | (i, j) = (2, 3) | D = 0.13068
(n, m) = (10, 600)    | (i, j) = (2, 4) | D = 0.12545
(n, m) = (10, 600)    | (i, j) = (3, 0) | D = 0.15159
(n, m) = (10, 600)    | (i, j) = (3, 1) | D = 0.14113
(n, m) = (10, 600)    | (i, j) = (3, 2) | D = 0.08363
(n, m) = (10, 600)    | (i, j) = (3, 3) | D = 0.13068
(n, m) = (10, 600)    | (i, j) = (3, 4) | D = 0.12545
(n, m) = (10, 600)    | (i, j) = (4, 0) | D = 0.16204
(n, m) = (10, 600)    | (i, j) = (4, 1) | D = 0.17249
(n, m) = (10, 600)    | (i, j) = (4, 2) | D = 0.22999
(n, m) = (10, 600)    | (i, j) = (4, 3) | D = 0.18295
(n, m) = (10, 600)    | (i, j) = (4, 4) | D = 0.18818
(n, m) = (10, 800)    | (i, j) = (0, 0) | D = 0.15321
(n, m) = (10, 800)    | (i, j) = (0, 1) | D = 0.21606
(n, m) = (10, 800)    | (i, j) = (0, 2) | D = 0.19249
(n, m) = (10, 800)    | (i, j) = (0, 3) | D = 0.20428
(n, m) = (10, 800)    | (i, j) = (0, 4) | D = 0.16892
(n, m) = (10, 800)    | (i, j) = (1, 0) | D = 0.15321
(n, m) = (10, 800)    | (i, j) = (1, 1) | D = 0.21606
